,City,lat,lon
382,Dumont,42.7501516,-92.9731317
383,Latimer,42.7635903,-93.3687645
384,Griswold,41.2347873,-95.1415002
385,Villisca,40.9293163,-94.9769054
386,Coon Rapids,41.8709122,-94.6787232
387,Mallard,42.9378427,-94.6837432
388,Wyoming,42.0591801,-91.0073701
389,Melrose,40.975204,-93.0496663
390,Atalissa,41.5711357,-91.1659888
391,Ruthven,43.1291322,-94.8991531
392,Blairstown,41.9085228,-92.0845975
393,Hospers,43.0723766,-95.9055574
394,Hedrick,41.1724609,-92.3089125
395,Minden,41.4667146,-95.542622
396,Salix,42.3084403,-96.2877387
397,La Motte,42.2954586,-90.6209257
398,Anita,41.4451323,-94.7650448
399,Battle Creek,42.315544,-95.5986135
400,Dayton,42.2613645,-94.0685672
401,Lawler,43.0699613,-92.1505687
